ID_Transformador,ano,mes,dia,count,mean,std,min,25%,50%,75%,max
1009788,2018,5,13,87.0,18159.88459770116,108.80753187426329,17983.58,18064.96,18156.28,18246.03,18363.64
1009788,2018,5,14,90.0,18615.380888888893,130.3632416279233,18416.94,18502.01,18599.16,18716.440000000002,18859.46
1009788,2018,5,15,1.0,18864.0,,18864.0,18864.0,18864.0,18864.0,18864.0
1009788,2018,6,4,82.0,28529.998292682933,134.45373375442506,28310.74,28403.69,28532.04,28637.015,28774.18
1010034,2018,6,4,72.0,24776.79722222222,49.50403850995361,24700.88,24740.04,24769.97,24819.89,24857.74
1010700,2018,6,4,96.0,86868.44875000001,188.48471285351917,86587.48,86706.65,86843.70000000001,87015.86,87223.0
1010794,2018,6,4,69.0,46537.86260869566,94.11626838887956,46365.96,46471.44,46534.32,46615.56,46689.32
1010859,2018,6,4,58.0,28698.351724137934,58.82945187150323,28546.88,28662.219999999998,28699.019999999997,28735.68,28804.08
1010972,2018,6,1,63.0,51003.16412698413,82.36457664505461,50878.56,50939.240000000005,50999.36,51048.020000000004,51181.9
1010972,2018,6,2,52.0,51292.712307692316,41.936336091345204,51221.5,51258.66499999999,51291.9,51325.090000000004,51369.64
1010972,2018,6,4,81.0,52099.16592592593,101.27725220623086,51919.86,52019.28,52093.76,52178.5,52278.62
1011073,2018,6,4,66.0,62923.49303030301,115.63708755571618,62756.76,62819.91,62928.47,63026.98,63111.94
1011073,2018,6,5,42.0,63319.196190476185,87.63326578952982,63150.46,63262.46000000001,63314.08,63367.93,63471.24
1011359,2018,4,8,59.0,47357.93389830507,69.31125352766068,47258.2,47303.39,47342.54,47406.380000000005,47591.34
1011359,2018,6,4,55.0,71676.87781818183,115.70132088446871,71394.72,71610.29000000001,71680.16,71771.03,71850.2
1011359,2018,6,5,68.0,72050.60588235292,98.7950907027825,71875.04,71969.82,72046.70000000001,72126.185,72238.18
1011383,2018,6,4,71.0,26033.84366197183,44.437712852274906,25958.1,25991.11,26039.7,26067.83,26107.42
1011383,2018,6,5,61.0,26187.770163934427,43.90878858466351,26109.32,26155.36,26199.34,26224.0,26257.04
1014390,2018,6,5,31.0,39727.399999999994,32.65342044360269,39676.88,39700.8,39724.08,39753.759999999995,39785.96
1015362,2018,6,4,59.0,49231.31694915255,99.85761379039236,49056.96,49139.36,49259.36,49318.0,49382.68
1015362,2018,6,5,50.0,49533.54719999998,84.2687893670476,49386.2,49465.16,49561.25,49596.55500000001,49655.76
1027042,2018,6,4,39.0,59323.07846153846,123.82728322649628,59096.46,59248.56,59296.14,59443.86,59503.02
